Turdus migratorius_American Robin
Catharus ustulatus_Swainson's Thrush
Melospiza melodia_Song Sparrow
Corvus corax_Common Raven
Poecile rufescens_Chestnut-backed Chickadee
Corvus brachyrhynchos_American Crow
Colaptes auratus_Northern Flicker
Pipilo maculatus_Spotted Towhee
Pheucticus melanocephalus_Black-headed Grosbeak
Bombycilla cedrorum_Cedar Waxwing
Cyanocitta stelleri_Steller's Jay
Empidonax difficilis_Pacific-slope Flycatcher
Piranga ludoviciana_Western Tanager
Tachycineta thalassina_Violet-green Swallow
Junco hyemalis_Dark-eyed Junco
Sturnus vulgaris_European Starling
Hirundo rustica_Barn Swallow
Vireo gilvus_Warbling Vireo
Cathartes aura_Turkey Vulture
Troglodytes pacificus_Pacific Wren
Spinus tristis_American Goldfinch
Selasphorus rufus_Rufous Hummingbird
Agelaius phoeniceus_Red-winged Blackbird
Molothrus ater_Brown-headed Cowbird
Setophaga petechia_Yellow Warbler
Tachycineta bicolor_Tree Swallow
Contopus sordidulus_Western Wood-Pewee
Haliaeetus leucocephalus_Bald Eagle
Sitta canadensis_Red-breasted Nuthatch
Zonotrichia leucophrys_White-crowned Sparrow
Empidonax traillii_Willow Flycatcher
Leiothlypis celata_Orange-crowned Warbler
Streptopelia decaocto_Eurasian Collared-Dove
Geothlypis trichas_Common Yellowthroat
Regulus satrapa_Golden-crowned Kinglet
Setophaga coronata_Yellow-rumped Warbler
Cardellina pusilla_Wilson's Warbler
Euphagus cyanocephalus_Brewer's Blackbird
Patagioenas fasciata_Band-tailed Pigeon
Zenaida macroura_Mourning Dove
Spizella passerina_Chipping Sparrow
Calypte anna_Anna's Hummingbird
Ardea herodias_Great Blue Heron
Petrochelidon pyrrhonota_Cliff Swallow
Anas platyrhynchos_Mallard
Spinus pinus_Pine Siskin
Branta canadensis_Canada Goose
Dryobates villosus_Hairy Woodpecker
Loxia curvirostra_Red Crossbill
Haemorhous purpureus_Purple Finch
Buteo jamaicensis_Red-tailed Hawk
Geothlypis tolmiei_MacGillivray's Warbler
Poecile atricapillus_Black-capped Chickadee
Haemorhous mexicanus_House Finch
Catharus guttatus_Hermit Thrush
Certhia americana_Brown Creeper
Contopus cooperi_Olive-sided Flycatcher
Passerina amoena_Lazuli Bunting
Pandion haliaetus_Osprey
Setophaga occidentalis_Hermit Warbler
Charadrius vociferus_Killdeer
Troglodytes aedon_House Wren
Empidonax hammondii_Hammond's Flycatcher
Megaceryle alcyon_Belted Kingfisher
Larus glaucescens_Glaucous-winged Gull
Setophaga nigrescens_Black-throated Gray Warbler
Icterus bullockii_Bullock's Oriole
Passer domesticus_House Sparrow
Callipepla californica_California Quail
Nannopterum auritum_Double-crested Cormorant
Actitis macularius_Spotted Sandpiper
Setophaga townsendi_Townsend's Warbler
Sturnella neglecta_Western Meadowlark
Stelgidopteryx serripennis_Northern Rough-winged Swallow
Chordeiles minor_Common Nighthawk
Sphyrapicus ruber_Red-breasted Sapsucker
Thryomanes bewickii_Bewick's Wren
Chaetura vauxi_Vaux's Swift
Passerculus sandwichensis_Savannah Sparrow
Poecile gambeli_Mountain Chickadee
Ixoreus naevius_Varied Thrush
Columba livia_Rock Pigeon
Dryobates pubescens_Downy Woodpecker
Dryocopus pileatus_Pileated Woodpecker
Gavia immer_Common Loon
Tyrannus verticalis_Western Kingbird
Empidonax oberholseri_Dusky Flycatcher
Vireo cassinii_Cassin's Vireo
Mergus merganser_Common Merganser
Tyrannus tyrannus_Eastern Kingbird
Falco sparverius_American Kestrel
Cepphus columba_Pigeon Guillemot
Pooecetes gramineus_Vesper Sparrow
Larus californicus_California Gull
Leiothlypis ruficapilla_Nashville Warbler
Haemorhous cassinii_Cassin's Finch
Cistothorus palustris_Marsh Wren
Larus delawarensis_Ring-billed Gull
Coccothraustes vespertinus_Evening Grosbeak
Corthylio calendula_Ruby-crowned Kinglet
Pica hudsonia_Black-billed Magpie
Vireo huttoni_Hutton's Vireo
Perisoreus canadensis_Canada Jay
Passerella iliaca_Fox Sparrow
Dumetella carolinensis_Gray Catbird
Catharus fuscescens_Veery
Sialia currucoides_Mountain Bluebird
Larus occidentalis_Western Gull
Riparia riparia_Bank Swallow
Hydroprogne caspia_Caspian Tern
Vireo olivaceus_Red-eyed Vireo
Eremophila alpestris_Horned Lark
Xanthocephalus xanthocephalus_Yellow-headed Blackbird
Icteria virens_Yellow-breasted Chat
Pelecanus occidentalis_Brown Pelican
Melospiza lincolnii_Lincoln's Sparrow
Gallinago delicata_Wilson's Snipe
Podilymbus podiceps_Pied-billed Grebe
Circus hudsonius_Northern Harrier
Gavia pacifica_Pacific Loon
Pelecanus erythrorhynchos_American White Pelican
Aphelocoma californica_California Scrub-Jay
Dendragapus fuliginosus_Sooty Grouse
Fulica americana_American Coot
Melanitta perspicillata_Surf Scoter
Psaltriparus minimus_Bushtit
Tringa melanoleuca_Greater Yellowlegs
Haematopus bachmani_Black Oystercatcher
Mareca strepera_Gadwall
Aix sponsa_Wood Duck
Buteo swainsoni_Swainson's Hawk
Aythya collaris_Ring-necked Duck
Uria aalge_Common Murre
Brachyramphus marmoratus_Marbled Murrelet
Antigone canadensis_Sandhill Crane
Larus heermanni_Heermann's Gull
Bonasa umbellus_Ruffed Grouse
Oxyura jamaicensis_Ruddy Duck
Zonotrichia atricapilla_Golden-crowned Sparrow
Myadestes townsendi_Townsend's Solitaire
Porzana carolina_Sora
Meleagris gallopavo_Wild Turkey
Ardea alba_Great Egret
Salpinctes obsoletus_Rock Wren
Parkesia noveboracensis_Northern Waterthrush
Setophaga ruticilla_American Redstart
Calidris minutilla_Least Sandpiper
Phalaropus tricolor_Wilson's Phalarope
Archilochus alexandri_Black-chinned Hummingbird
Spatula cyanoptera_Cinnamon Teal
Cinclus mexicanus_American Dipper
Podiceps grisegena_Red-necked Grebe
Bubo virginianus_Great Horned Owl
Mareca americana_American Wigeon
